"Course Long Title","Minimum Credits","Maximum Credits","This course fulfills:","Course Description"
"Advanced Methods Clinical Placement","2","-","-","As a part of the secondary education methods course sequence, the student observes and teaches small and large groups of students in a public/private school classroom in the discipline. During the three-week practicum, the student develops and teaches a unit to document planning, teaching, assessment and reflection protocols. Note:  taken during the January Term, this course would meet the January II general graduation requirement, and if placed in a middle school classroom would meet the clinical requirement for the middle school endorsement."
"Advanced Teaching Methods II","2","-","-","Continued study of advanced teaching methods for students seeking licensure in English, mathematics, science, and social science with special emphasis on analysis of best practice, methodological research and curriculum design within the respective content area.  This course builds on the content of EDUC 352 and the clinical appointment in EDUC 366 and must be taken prior to EDUC 486."
"Advanced Literacy: Assessment and Instructional Design","2","-","-","This course will present constructs and protocols for the assessment, diagnosis, and evaluation of student learning and literacy skills in the elementary/middle school classroom.  The course explores the developmental nature of reading with a focus on the range of readers, including striving readers, readers with learning disabilities such as dyslexia, and gifted readers. It also examines: current research on learner characteristics, instructional approaches, and best-practices in classroom assessment of reading skills, both formal and informal."
"Content Area Literacy: Secondary","2","-","-","Introduction to the teaching of literacy in content areas for secondary teachers; procedures used in recognizing content area reading problems, improving reading by developing literacy strategies in reading, writing, speaking, and listening.  Required for all students seeking secondary school licensure. and students seeking health certification."
"Practicum: Content Area Literacy","1","-","-","This course is 1-semester hour practicum component that is available for secondary and K-12 majors.  This may be a requirement in some other states for all teachers.  Check the state's licensure website.  NOTE: If you are an elementary education major pursuing a reading endorsement, you will student teach in a reading classroom."
"Literacy Practicum","2","-","-","Practicum experiences are offered in the reading endorsement for elementary education.  Options may include local, regional, and out-of-state placements in literacy intervention programs or summer programs with an emphasis on reading."
"Teaching Practicum","12","-","Experiential Learning (EXPL)","Observation and teaching in pre K-12 schools. Student teaching experiences are offered in each of the following areas: elementary education and secondary education."
"Advanced Portfolio","1","-","-","Per Iowa Department of Education requirements, all Elementary Education Majors and Secondary Education minors complete an advanced portfolio demonstrating growth and competence of InTASC standards.  This portfolio is to be completed during the student teaching semester."
"Introduction to College Writing","2","-","-","An introductory English course designed to help students become more fluent, confident, and effective writers and readers.  Focus on strengthening skills in writing college-level essays, including identification of surface errors.  Frequent writing, reading, and individual conferences.  Hours do not count toward an English major or minor.  Students may not earn credit for both ENG 110 and ENG 114."
"Introduction to U.S. Academic Writing","2","-","-","This course helps students become fluent, confident, and effective writers and readers in U.S. academic culture. It strengthens skills in writing college-level essays (including thesis-driven, analytic essays), in responsible use of outside sources, and in making surface corrections and refinements. Some instruction takes place in individual conferences. Students will usually take this course concurrently with PAID 111. Student may not earn credit for both ENG 110 and ENG 114. If placed in the course, students may only withdraw with permission of the Writing Director."
"Literary Ventures","4","-","Textual Literacy (TXT-L)","An introductory literature course, with specific focus and readings announced each semester. This course is both an introduction to the pleasures of reading and interpretation and also an opportunity for student writing in a range of analytic and creative forms.  Open to all students in all majors.  Students may enroll in more than one version of the course. Sample topics: Carribean Women Writers, Literature of the Apocalypse, Multiple Hamlets, Poems for Life."
"World Literature","4","-","-","This course focuses on Anglophone and English-translated literature across the globe, sampling culturally diverse works across time and place.  It moves beyond English literatures of the U.S. and Britain, exploring writers from various national traditions, historical periods, and genres.  Instructors may use theme-centered, genre-centered, and/or geographically specific approaches in order to frame effective class models, ultimately providing students with cross-cultural windows into literature and the human condition."
"World Literature: Immigration Stories","4","-","Global Engagement (GE)","This course focuses on Anglophone and English-translated literature across the globe, sampling culturally diverse works across time and place.  Instructors may use theme-centered, genre-centered, and/or geographically specific approaches in order to provide students with cross-cultural windows into the human condition.  This iteration of the course examines narratives of immigration from Asia, Africa, and Latin America to the United States, exploring how the cultural identity supports, is challenged by, and adapts to the experience of migration.  In reading these narratives, students will better understand others' cultural identities and reflect more thoughtfully on their own."
"Writing for Media","4","-","-","A comprehensive course in news writing, reporting, and writing for media. Focus on the issues and skills central to journalism and professional writing for various media. Readings and examples from newspapers, on-line and print magazines, and electronic journalism."
"Introduction to Creative Writing: Poetry, Fiction and Creative Nonfiction I","4","-","Creative Literacy (CRE-L)","An introductory course in the writing of poetry, fiction, and creative nonfiction.  Writing will include experiments in each genre and in-class exercises in craft inspired by a variety of readings in contemporary poetry and fiction.  Student work will be discussed in a workshop format."
"Rhetoric and Persuasion","4","-","-","Through a study of historical and present-day persuasive texts, students in this course will engage with the following questions: What persuades others?  What counts as evidence--but also, what factors other than evidence do audiences use to determine whether they find an argument acceptable?  How do writers and speakers consider their audiences' beliefs, values, biases, and ways of seeing the world as they attempt to persuade those audiences?  In this course, students will learn fundamental concepts of rhetoric and persuasion and develop arguments of their own."
"Professional and Technical Writing","4","-","-","This course introduces the concepts and strategies essential for the writing of professional correspondence, from instructions to proposals to business letters and more.  Students will communicate complex subject matter to specific audiences, lay and technical, in print and digital formats.  The course will examine the rapidly shifting technological and rhetorical demands of professional communication as messages move through networks of real people and organizations, each with different needs, priorities, and cultural values.  By examining case studies of professional and technical writing in professional environments and applying what they learn to their own work, students will become more attentive to the audiences and environments of their writing."
"How Literature Works: An Introduction","4","-","Textual Literacy (TXT-L)","Literature invites us into experiences and worlds familiar and strange.  This course introduces students to careful reading, to discussion, and to writing about literature:  both classics and little-known treasures.  The course is open to any student wishing to cultivate perceptive reading and writing."
"Film","4","-","-","This course explores the world of film experience and cultivates visual media savvy.  We will examine a wide range of films, from early moving-image media and Hollywood classics to Indie flicks, bleeding-edge documentaries, and global cinema from ""Metropolis"" and ""Citizen Kane"" to ""Crouching Tiger, Hidden Dragon"" and ""13th"".  Students will practice analyzing films in terms of history, techniques, and critical approaches in order to develop a broad knowledge of film as an intersection of art, technology, and industry that holds great power to move us."
"Graphic Narratives","4","-","Textual Literacy (TXT-L)","How do pictures tell stories?  This course explores the genre of graphic narratives and considers how writers employ the visual to make meaning.  Focusing on how writers and illustrators pair text and image, this course will introduce analytical strategies for engaging with graphic literature.  We will read both fiction and nonfiction narratives, paying special attention to how writers from diverse identities have used graphic forms to share their stories.  Students can expect lively discussion, creative projects, and opportunities to write about graphic texts."
"Young Adult Literature","4","-","-","This course investigates literature for young adults (ages 12-18), considering how this body of literature speaks to and about a particular era in life.  Looking at representative fiction, creative nonfiction and poetry, we consider the literary qualities of this genre and how they operate in order to shape texts and issues that can both comfort and challenge readers.  We consider the way in which YA texts are both bound by historical specificity and aim for timelessness, as well as issues of censorship and canon.  We explore how these texts are used within and outside the classroom, and consider them as a driving (but complicated) force in the development of contemporary literacy."
"Africana Women's Writing","4","-","-","A study of writing by selected Africana women writers from Africa, the Caribbean, the United States and elsewhere in the African diaspora.  Topics may vary by geographic region or theme.  (Same as AFRS 240 and IDS 240)"
"Literature of the African Peoples","4","-","Textual Literacy (TXT-L)","Modern African writers are some of the most dynamic and innovative writers as they draw from and respond to different literary traditions, such as their own oral and written traditions, as well as European models.  This course serves as an introduction to the various themes and styles of written literature of the 20th century.  Central to discussion will be an analysis of gender within various African cultural contexts.  Understanding constructions of masculinity and femininity, dominant female and male roles in society, and the ways in which the works challenge traditional norms of gender will be priorities within applied theoretical approaches. (Same as AFRS 243 and IDS 243)"
"Literature and Disability","4","-","Textual Literacy (TXT-L), Social & Environmental Justice (SEJ)","From Captain Ahab's missing leg to Tiny Tim's crutch to Richard III's hunchback, literature has always been deeply invested in describing, using, and understanding the disabled body.  This course examines the role disability plays in literature and the role literature plays in constructing disability as a category of identity, shaping the ways disabled people are perceived and how they operate in the world.  We will learn how diabled ways of being and knowing can provide rich, insightful approaches to understanding literature by reading a wide range of literary depictions of disability.  We will consider what disabled people have to say about their fictional counterparts and how they choose to represent themselves in literature.  By exploring the tightly sutured relationship between disability and race, class, gender and sexuality, we will strive to know bodies both ordinary and extraordinary in new ways. (same as IDS 244)"
"Literature and Gender","4","-","Textual Literacy (TXT-L), Social & Environmental Justice (SEJ)","A study of how writers from different historical periods use a range of literary genres to address gender in the private and public world.  The course looks at how literature both presents and critiques culture and its construction of gender, as well as how it offers new visions and choices for individuals and communities.  Readings include core essays in feminist literary studies, as well as texts from writers across a spectrum of gender and sexual identities.  Students can expect lively discussion, creative projects, and opportunities to reflect on the applicability of their reading to their own lives. (Same as IDS 245)"
"African-American Literature","4","-","Textual Literacy (TXT-L), Social & Environmental Justice (SEJ)","A survey of African-American literature, drawing primarily from 19th, 20th, and 21st century works. Contributions from authors such as Frederick Douglass, Harriet Jacobs, David Walker, Zora Neale Hurston, Ralph Ellison, Toni Morrison, and Ta-Nehisi Coates combine their artistic craft with acute interrogations of their socio-political environments.  Thus, the course focuses on how both fictional and non-fictional Black literature grounds itself in its respective historical context and addresses themes of social justice.  Class discussions will pay special attention to the intersection of race, class, and gender as writers engage with this struggle to achieve the American promises of freedom and equality (Same as AFRS 251 and IDS 251)"
"In Frankenstein's Footsteps: the Keats-Shelley Circle in London, Geneva, And Italy","4","-","Textual Literacy (TXT-L)","Mary Shelley composed her famous novel Frankenstein (1816) amid a whirlwind of personal turmoil, important friendships, and significant travel. This course will retrace the path of her journeys from childhood to Frankenstein, visiting sites associated with her and her circle - including John Keats, Percy Shelley, and Lord Byron - in London, Geneva, Venice, Florence, and Rome, as we investigate the relationships between an author's historical and imaginative realities. "
"Advanced Creative Writing: Poetry, Fiction, and Creative Nonfiction II","4","-","-","An advanced-level course in the writing of poetry, fiction, and creative nonfiction for students dedicated to making imaginative, emotional, and technical discoveries in the practice of their craft.  Readings in contemporary poetry, fiction, and creative nonfiction, as well as in-class exercises and student workshops."
"Literature for Life","4","-","-","This course advances students' methodological and imaginative capacities in literary research, theory, analysis, and writing.  We will explore challenging primary texts along with literary theory and criticism as well as archival and data-based research approaches.  Through rigorous and engaging assignments, students will expand the range and depth of analytical positions they can articulate in writing and discussion.  Students will also conceptualize and convey how their skills prepare them for professional and personal futures."
"Film in Focus","4","-","-","This course explores specific areas of film experience and cultivates visual media savvy.  We will examine films affiliated by a common theme, genre, director, era, or movement.  Possibilities include science fiction or horror, Shakespeare on screen, social documentaries, Alfred Hitchcock, and more.  Students will practice analyzing films in terms of historical and social contexts, cinema techniques, and critical approaches in order to develop a deep knowledge of a particular set of films as an intersection of art, technology, and industry that holds great power to move us.  Students may enroll in more than one version of the course."
"American English and Language Policy","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","The course examines several of the major spoken and written dialects of American English.  In the course, students will explore how English is learned through childhood language development, through exposure to languages, and through formal education.  They will also learn how the various dialects of American English differ in terms of prestige as well as how speakers' and writers' dialects can have tangible effects on their social and economic success.  By engaging with scholarship in rhetoric, linguistics, sociology, history, and communications, students will develop their understanding of how language can be a force of inclusion or exclusion."
"American Literary Traditions","4","-","-","American literature, as Walt Whitman writes, ""contains multitudes"" and all those multitudes are talking to each other and to us.  This course dives into both classic and historically marginalized texts, with attention to the traditions that inspired, influenced, or haunted them.  By exploring a range of texts, from novels and poetry to slave narratives, science fiction, and the blues, we will discern how American literature records and also shapes national conversations and culture.  The course will focus on themes, genres, geographical regions, and literary movements that reflect the energy of American diversity.  Students may enroll in more than one version of the course."
"British Literary Traditions, 1800 to the Present","4","-","Textual Literacy (TXT-L)","Focusing on British and Anglophone literature after 1800, with particular topics chosen by the instructor, this course will introduce a range of writers who still spark conversations and challenges today.  Encountering such landmarks as Romanticism's exploration of the natural world, great Victorian novels, Modernist experiments, and postcolonial Irish, Indian, and African writers, students will read brilliant, enduring work and join the conversation by building their own critical and creative voices on the page and in class discussion."
"Shakespeare","4","-","-","Shakespeare's plays, although often heralded as ""the greatest literature in English,"" can be silly, mean, funny, bleak, ridiculous, eithically thorny, and downright weird-in addition to being occasionally great.  In this course, students will read a selection of Shakespeare's plays, paying close attention to their structure, language, and genre.  Students will also study how these plays were produced and published in preparation for responding fully to them as both text and performance.  Students can anticipate reading plays in each major dramatic mode (comedy, tragedy, history) and attending a live performance of a Shakespeare play as part of this course."
"Medieval Literature","4","-","Textual Literacy (TXT-L)","From heroes fighting monsters to Arthurian romances, medieval literature is best known for its stories of chivalry.  Less well-known but equally wonderful are the comic tales ofpeople having sex in trees and greedy friars dividing a fart.  Readings in this course include the heroic epic of Beowulf, narrative poems about love and adventure by Marie de France, the tale of Sir Gawain and the Green Knight, and several of Chaucer's Canterbury Tales.  We will particularly explore how these medieval texts construct sex, gender, and sexuality.  We will also examine how 21st century fantasies of the medieval period have generated mistaken ideas about race and ethnicity.  Centuries have passed, but medieval constructions of identity continue to inform our lives in powerful ways today.  (Same as IDS 361)"
"Seminar","4","-","-","An intensive, collaborative study of a selected period, movement, or writers, emphasizing the methods and assumptions of literary analysis and selected critical theories. The course format is student-initiated discussion and presentation, with significant independent projects and an oral presentation. Intended primarily for seniors. Students - especially those preparing for graduate school - are encouraged to complete more than one seminar."
"Senior Project","1","4","-","Together with the required Senior Seminar, the Senior Project is the English major's culminating experience.  Projects build upon students' previous experience with scholarly research, creative writing, or the secondary education program. Students wishing to do a creative writing project are expected to complete the requirements for the English Writing Emphasis major. Ideally, these students would have completed the Writing Emphasis requirements and would have had coursework and sustained writing experience in the genre of their project. At a minimum, all students wishing to do a creative writing project must be completing their third writing course during the term in which a senior project will be submitted; students intending a creative nonfiction project must have completed ENG 210, 211, or 213; students intending a poetry or fiction project must have completed ENG 212, and must have completed or be completing ENG 312 during the term in which the senior project will be submitted. 

Permission to register for a Senior Project will be given after submission of the application form available on the English department website. The application form also outlines the required oral presentation component. Registration ought to be completed during the semester preceding the semester in which the project is begun. The English department does not require students with more than one major to complete an English Senior Project."
"Introduction to Physics and Engineering","4","-","Scientific Literacy (SCI-L)","Students are introduced to fundamental principles of physics, science, and engineering, with an emphasis on the iterative, self-correcting process that leads to the development of new physical theory and the applications that derive from that theory.  Topics will range from Newtonian mechanics to quantum mechanics, molecular systems and materials, and computational/algorithmic thinking, with an emphasis on the myriad devices and systems that grow out of this work and underpin modern society.  The course carries no mathematical prerequisite but mathematical concepts will be introduced and developed.  Project work will be developed in the laboratory.  (Same as PHYS 150)"
"Mathematical Methods for Scientists and Engineers","4","-","-","The course introduces important topics and methods in mathematics that have broad application to the work of scientists and engineers. The emphasis is on the use of the methods and their application to solving problems rather than on proofs and derivations.  Topics include vector analysis, coordinate systems, matrix methods, ordinary and partial differential equations, complex analysis, and Fourier series and transforms. (Same as PHYS 250, MATH 250)"
"Statics","4","-","-","This class focuses on the analysis of static equilibrium problems related to engineering structures.  Involves vectors and scalar treatment of 2D and 3D force systems.  Covers particle and rigid body equilibrium, equivalent force systems, truss and frame analysis, distributed forces, and internal forces."
"Analog Electronics","2","-","-","This course serves as a foundation course for those students who want a career in engineering or physics.  Electronic circuits are embedded in buildings and machinery, and everyone from construction workers to experimental physicists use electronic measuring devices.  This course is an introduction to the design and analysis of DC and AC circuits using engineering principles and concepts.  Topics include grounding, equivalent circuits, source transfer theory, lump circuits, electronic filters, feedback, impedance matching and amplification. (Same as PHYS 311)"
"Projects in Physics and Engineering","2","-","-","Students will complete a project of their own design, from earliest conception of an idea through thorough analysis of the results. Activities will include design, prototyping, re-design, analysis of results and presentation of the project.  Topics that students may choose to explore range from the development of a device to solve a technical problem to the measurement of fundamental physical quantities.  Effective teamwork, self learning and communication are key components of the course.  (Same as PHYS 312)."
"Mechanics of Materials","4","-","-","In this class student will learn to model stresses, strains and deformations of mechanical components under stationary loads.  The class will also focus on system and component design to ensure that components used will not fail.  Topics include:  mechanical properties of materials, axial and transverse loading, beam bending, deformation and buckling, stress-strain relationships, elasticity and mechanical fatigue, variational and energy methods."
"Fluid Mechanics","4","-","-","This course introduces the student to the fundamental concepts of fluid mechanics.  Fluids interact with pipes, buildings, bridges, dams, airplanes, and cars - thus a knowledge of fluid statics and dynamics is necessary for civil, mechanical, industrial, aeronautical, and environmental engineers.  Topics include pressure, buoyancy, hydrostatics, non-viscous and viscous fluid flow, boundary layers, and an introduction to turbulence.  The students will learn about practical applications of the concepts, how to model and analyze fluid systems, and good engineering practices when designing fluid systems."
"Senior Project","1","-","-","Students will design and implement a project under the supervision of the faculty.  Requires senior standing."
"Senior Project","1","-","-","Students will write a research paper reporting the nature, outcomes, and significance of the project undertaken in ENGR 490."
"History of Earth and Life","4","-","Scientific Literacy (SCI-L)","What can we learn about global environmental changes in our own time by looking back at Earth's long legacy of planetary change?  In this course, students will explore the deep history of our planet and the complex interplay of planetary and biological processes that has continually reshaped the Earth, ultimately asking how an earth systems history perspective can inform responses and solutions to modern day global environmental change.  Additional attention will be paid to the evolution of scientific understanding of the Earth and how scientific claims about the Earth system in the past and in the present are substantiated.  Labs will incorporate local field trips as well as an extended research project based on field and lab-based measurements."
"Environmental Conservation","4","-","Scientific Literacy (SCI-L)","An introduction to conservation of the natural environment, with emphasis on ecological principles and applications.  Students investigate how environmental health, biodiversity, ecosystems, water and soil are influenced by innate characteristics, and individual, cultural, and societal decisions. Students encounter scientific inquiry through published literature and data, case studies, and lab-based investigations.  Laboratory/field trips emphasize the ecology of major habitats of northeastern Iowa and human efforts to solve environmental problems."
"The Earth System","4","-","Scientific Literacy (SCI-L)","This course is an introduction to the natural and human-influenced processes that govern the interactions among the components of the Earth system:  the solid earth, water, the atmosphere, and life.  We will covers topics such as geologic hazards, sedimentary processes, mineral and energy resources, and global climate change, all with an emphasis on the ways in which Earth system processes both impact and are impacted by human activities.  Laboratories include field-based investigations of Earth system processes in northeast Iowa."
"Bringing Sustainable Energy Home","4","-","-","In this project-based course, students will collect and analyze household energy data in order to develop a detailed plan for improving home energy efficiency and progressing toward carbon neutrality.  More broadly, students will gain the knowledge and skills needed to understand the essential role of household decision-making in the transition to a clean energy system, while also exploring associated energy justice issues and their potential solutions.  The course will serve to help students improve basic energy literacy as citizens and learn about the diverse types of work being done within many professions to accelerate the clean energy transition.  Students will develop skills in quantitative problem solving, collaborative learning, and written communication."
"Introduction to Geographic Information Systems","2","4","-","This course is an applied practicum in geospatial technology that fosters effective use of Geographic Information Systems. Students who successfully complete the course will be able to create, manipulate, and manage geographic data to perform analysis tasks, to visualize geographic data, and to use geographic data analyses to support decision making."
"Environmental Education","4","-","Scientific Literacy (SCI-L)","An introduction to the theory and practice of environmental education while providing a foundation in environmental science inquiry and content. Emphasis is placed on learning local and regional natural history as well as phenology and ecological processes. Students will engage in the process of scientific inquiry throughout the course, integrate interdisciplinary approaches to understanding and teaching about the environment and gain a foundation in place-based education.  Students learn methods necessary to effectively teach about the natural world and as well as in the scientific processes we use to better understand it."
"Earth System Biogeochemistry","4","-","-","This course is focused on the global biogeochemical cycles that dictate atmospheric chemistry, climate, and biological productivity, as well as the biogeochemistry of energy resources, including fossil fuels, nuclear energy, and critical minerals.  Students will deepen their understanding of the chemistry of the Earth system; apply knowledge of Earth system biogeochemistry to contemporary issues such as climate change, sustainable agriculture, and clean energy; develop quantitative and problem-solving skills; explore chemical analytical techniques used in environmental applications; and gain skills in reading and synthesizing scientific research."
"Energy and Climate","4","-","-","The world's fossil-fuel driven energy system is the leading driver of anthropogenic climate change, as well as a major source of air and water pollution, environmental degradation, and environmental injustice.  How can a transition to a sustainable energy system be accomplished in a way that not only combats climate change but also leads to a cleaner and more just world for all?  From a foundation in the basic principles of climate science, students will draw from both US and global perspectives to assess solutions for a sustainable energy system, while also gaining tools to evaluate energy-related claims and rhetoric."
"Environmental Issues in the Pacific Northwest","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course examines environmental issues in the Pacific Northwest and the policies that are used or proposed to address them.  Case studies - on issues such as wilderness, endangered species, mining, hydroelectric dams, water rights, public land management, salmon and Native treaty rights, and outdoor recreation - will be used to better understand the political process in the United States, the role of economics in addressing environmental issues, and the particular challenges in human-nature relations within the intermountain west. Students will also develop an environmental justice lens, exploring questions of equitable access to and engagement with a healthy environment as core considerations in the environmental politics of the Pacific Northwest.  The course will be taught at Holden Village, an ecumenical retreat center in the Cascade Mountains of Washington state.  As such, students will also explore and interrogate Holden Village as a model of a just and sustainable community. Students who previously have taken one of the Envs 239 courses at Holden Village will not be permitted to enroll in this course."
"Rivers and Society","4","-","-","Rivers are important environmental, cultural, and economic features in the landscape, yet we struggle to manage them sustainably.  Using rivers as an integrating element, the course draws from multidisciplinary perspectives to understand social dependence on river systems, as well as human modification and management of river environments.  In particular, we will examine cultural meanings of rivers in the arts; the politics of dams; rivers and pollution policy; water rights and water conflicts; fishing culture and fisheries policy; and river recreation and restoration.  We will ground our examination in case studies of rivers, ranging from the local Upper Iowa River, to the Mississippi, to major river systems of the world, such as the Ganges, the Yangtze, and the Nile."
"Sustainability, Systems and Solutions","4","-","-","This course will draw upon concepts in systems thinking to cultivate skills for sustainability and problem solving. Through applied case studies grounded in NE Iowa, students will analyze and practice the ways that communities can work to create more sustainable solutions and systems. Students will work in teams on key sustainability issues such as water, energy and climate, food systems, and social sustainability in order to hone skills in systems thinking, communication, research, data analysis and information literacy. This course serves as an integrative experience that will build common capacities and skills for students in upper level environmental studies coursework, such as the junior/senior seminar. This course is a prerequisite for ENVS 485. "
"Environmental Politics & Policy","4","-","Social Systems Literacy (SOC-L)","In this course, students will build skills to analyze and develop environmental policies in diverse contexts such as water, agriculture, climate & energy, and biodiversity conservation.  As a foundation to these inquiries, we will explore the unique nature of environmental policy challenges as collective action problems, where debates over knowledge, identity, economics, and equity are central.  Further, students will become familiar with both the enduring and shifting politics of the environment.  We will take a future-oriented approach to our study, thinking in particular about the possibilities and opportunities for shaping a more just and sustainable world through the use of environmental policy.  This course is primarily grounded in the environmental politics of the United States, but does explore international environmental politics in the context of climate change."
"Sustainability and Social Change","4","-","-","How do communities and societies change to become more resilient and sustainable?  How can we understand and evaluate competing theories of change and implement strategies for social change in local, regional and global contexts?  This course uses the lens of sustainability and the issues that need to be addressed to create a more sustainable society to study processes of change.  Utilizing a highly interdisciplinary approach, students will study historical and contemporary examples of social change to evaluate strategies for promoting change (e.g. social movements, narrative, policy and economic change, individual behavior change, and culture change).  They will develop their own theory of change and apply this theory to issues of energy and climate, natural resources and social equity."
"Environment & Community","4","-","-","Why do we hear call to ""think globally, act locally"" with regard to the environment?  Why might communities be particularly well suited to push for environmental change, but also be a locus of environmental conflict?  This course explores environmental issues, actions, and debates through the lens of community.  We assess ""community"" as a critical unit of social action for promoting positive environmental change, through the exploration of community-based environmental movements.  We also examine communities as a place for experiencing environmental benefits and environmental burdens, through understanding the causes and consequences of environmental injustice.  Throughout the class, students will investigate community action, organization, and capacity through community-engaged partnerships and case studies."
"Soils, the Earth System, and the Environment","4","-","-","Soils form an interface between the atmosphere,  hydrosphere, lithosphere, biosphere, and  anthrosphere, making them critical to Earth  system and environmental processes ranging from  plant growth to groundwater recharge to the flux  of greenhouse gases to the atmosphere.  Students  will gain a basic understanding of soil formation  processes and of the relationship between soils  and other components of the Earth system,  including key biogeochemical cycles (the carbon,  nitrogen, and phosphorus cycles), the climate  system, and hydrologic processes.  During labs,  students will conduct field description of soils,  interpret the environmental history recorded in  soil profiles, and design and complete an  original research project.  Offered alternate  years."
"Environmental Justice and Law","4","-","Social & Environmental Justice (SEJ)","Environmental justice addresses the distribution of environmental burdens and benefits across societies, as well as the ways that citizens have a role in influencing their environmental fates.  In this course, we will use the frame of environmental justice to analyze critical issues in the realm of environmental law.  The course will examine and analyze legal cases that involve environmental justice issues, as well as environmental conflicts that involve issues of inequality across race, gender, and socio-economic status.  Further, we will explore the role of law and judicial processes as paths to address and ameliorate environmental injustice.  Students will develop an understanding of the politics of environmental justice, as well as skills in legal analysis and policy analysis within an environmental justice frame."
"Global Environmental Politics","4","-","-","This course examines the politics of global environmental issues such as climate change governance, poaching and illegal wildlife trade and policy, globalization of e-waste and waste cycles, and extractive industries such as mining and fossil fuel production, human rights and food production, as well as sustainable international development.  We will take a three-pronged approach to our inquiry by a) analyzing the politics of global environmental change, b) examining global economic and political processes that shape the landscape of global environmental politics, and c) exploring the international agreements and institutions that seek to address transboundary, global environmental problems.  Ultimately, we will explore global environmental issues and institutions in an analysis of the ways that environmental politics transcend local and national scales."
"Seminar","4","-","-","This course will be an interdisciplinary seminar for students completing the environmental studies major or minor. It will be topical in nature and will combine lecture and seminar approaches to the exploration of environmental issues and policies. Students may complete more than one seminar."
"Senior Project","1","4","-","The senior project draws upon a discipline's methodology and provides a culminating, independent experience of the major. Because presentation and communication of finished projects are typical of a culminating experience, many senior projects will require formal writing and all senior projects will include a formal presentation."
"Experiential Learning Reflection Seminar","1","-","Experiential Learning (EXPL)","EXPL 300 is a special registration one credit course that students complete concurrently with an internship (380), Directed Project (392), or Independent Project (394) to satisfy the experiential learning (EXPL) core curriculum requirement.  This course will focus on reflection of the experience, vocation, and sense of self in the world.  Students will complete assignments that will help them better understand their experience, the professional workplace, resiliency, time/project management, and connect experiential learning to their academic experience more broadly.  This course will assess experiential learning student learning outcomes, which are: (1) Students will demonstrate new skills, knowledge, and perspectives that inform the discernment of future goals, and (2) Students will apply previous knowledge to their EXPL experience to address or to better understand our world's complex questions.  EXPL 300 will be graded pass/fail by the Director of Experiential Learning or instructor of record.  Students can only register for EXPL 300 concurrently with at least two credits of 380 Internship, 392 Directed Project, or 394 Independent Project.  This combination of experience and seminar will fulfill the EXPL core curriculum requirement."
"D.C. Semester Reflection Seminar","1","-","Experiential Learning (EXPL)","This course is meant for students participating in the Lutheran Colleges Washington Semester program who wish to fulfill their experiential learning core requirement.  Students will participate in the DC Experience program with additional requirements of reflection discussions, journaling, and reflection papers to help them more deeply reflect on their experience as it relates to both professional development and cultural diversity or civic engagement.  Only students participating in the Lutheran Colleges Washington Semester may register for this course."
"EXPL Experience","2","-","Experiential Learning (EXPL)","This is a special registration course whereby students can register for credit for their experiential learning experience in pursuit of fulfilling their EXPL core curriculum requirement. An experience can include an internship, fieldwork, job shadow, research project, creative project, community engaged project, or work study project. Registration for an experiential learning experience will include a proposal explaining the experience that will be approved by the supervisor of the experience and the student's academic advisor. Students must register for at least two credits of EXPL 392 as well as the EXPL 300 Reflection Seminar to fulfill the EXPL core curriculum requirement. The Experiential Learning Experience can NOT be registered for without the EXPL 300 Reflection Seminar. Experiential Learning Experience will be graded pass/fail by the instructor of record for the EXPL 300 Reflection Seminar."
"Scandinavian Fine Handcrafts","4","-","Creative Literacy (CRE-L)","In this hands-on course, students will work with a variety of natural materials, including wood, horn, reindeer leather, and birch bark, to produce traditional, functional objects with a distinctly Scandinavian aesthetic.  Drawing on the rich heritage of Scandinavian craftsmanship, students will explore both the practical and cultural significance of these materials in Nordic tradition.  The course will integrate studio work with the use of Vesterheim's extensive collection of Scandinavian folk art, offering students the opportunity to connect historical techniques with their own creative practice."
"China in the World","4","-","Global Engagement (GE)","This course explores the importance of China in a rapidly globalized world from an intercultural perspective. Students are invited to examine how China interacts with the world, and vice versa, through a variety of issues. The course begins with an interdisciplinary project that offers students a gateway to explore the global presence of China.  After a comparative study of origin myth and flood in China and the West, the course continues with an examination of cross-cultural education, during which students will complete an interview project.  Both Chinese cuisine and the topic of ""made in China"" will be essential parts of this course, but students will also be able to explore topics of personal interest, such as Hollywood's representation of Chinese culture, international adoption or the Dalai Lama.  With class discussion and student-led projects, this interdisciplinary course will provide a basic understanding of Chinese culture and tradition. (Same as IDS 142)"
